06.04.2021 11:05:19 Application started. Press Ctrl+C to shut down. 
06.04.2021 11:05:19 Hosting environment: Development 
06.04.2021 11:05:19 Content root path: C:\Users\Anuitex\Source\Repos\BookStore\Store.PresentationLayer 
06.04.2021 11:35:53 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:35:55 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:35:57 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:37:32 Application started. Press Ctrl+C to shut down. 
06.04.2021 11:37:32 Hosting environment: Development 
06.04.2021 11:37:32 Content root path: C:\Users\Anuitex\Source\Repos\BookStore\Store.PresentationLayer 
06.04.2021 11:37:33 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/Home/MainPage 
06.04.2021 11:37:36 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:37:37 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:37:39 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:37:39 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:37:39 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:37:39 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:37:41 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:37:44 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:38:23 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:38:23 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:38:24 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:38:24 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:38:24 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/admin/getallauthors 
06.04.2021 11:38:24 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingedition?id=1 
06.04.2021 11:38:28 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:38:28 REQUEST METHOD:  PUT, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/updateprintingedition 
06.04.2021 11:38:41 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:38:41 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:38:49 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:38:49 REQUEST METHOD:  POST, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
06.04.2021 11:39:36 Application started. Press Ctrl+C to shut down. 
06.04.2021 11:39:36 Hosting environment: Development 
06.04.2021 11:39:36 Content root path: C:\Users\Anuitex\Source\Repos\BookStore\Store.PresentationLayer 
06.04.2021 11:39:36 REQUEST METHOD:  GET, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/Home/MainPage 
06.04.2021 11:39:39 REQUEST METHOD:  OPTIONS, REQUEST BODY:  , REQUEST URL:  https://localhost:44300/printingedition/getprintingeditions 
